,funding_total_usd,milestones,web,biotech,active_days,isClosed,funding_per_active_day,PC1,PC2,PC3,PC4,PC5,PC6,PC7,status
0,10125293.0,1.0,0,0,6574,1,1540.2,-0.9489986170110325,-0.27141754898269366,0.15562349489970442,0.5162693221872774,-0.2949405528308627,-1.066873072014623,-0.1115749120865212,1
1,250000.0,1.0,0,0,6574,1,38.03,-0.2522211141676868,-1.0343636241027307,-0.20011495761936052,0.6840225420330556,-0.04829872737992928,-0.21510905703436,0.6202152145339129,1
2,11300000.0,1.59,0,0,5478,1,2062.8,-0.8263800573495581,0.4569626257693996,0.06592363454511857,0.1382795047116151,-0.5267281452334031,-0.5330253726344332,-0.38270193577522693,1
3,414840.0,1.59,0,0,5478,1,75.73,-0.05844936506608632,-0.384279106556307,-0.3269724149774108,0.3224740430148556,-0.25494263838150055,0.40555004193356203,0.4238900947491389,1
4,1500000.0,1.0,0,0,6209,1,241.58,-0.24981515155877063,-0.9453680135782113,-0.13821875616545445,0.6304873192421059,-0.10374547903594876,-0.29495327336911636,0.42463150868864824,1
5,2500000.0,2.0,1,0,5478,1,456.37,0.7644458037190291,1.4515340944460238,-1.4123742211292658,0.6536960244521356,2.176548292701969,-0.12512156978009512,0.014861601800418981,1
6,40000.0,1.0,0,0,3652,1,10.95,0.4878855509805548,-1.1113302970038514,-0.07288952816977062,0.42878202922102504,-0.23702839307017257,0.026833430750514996,-0.18843562728096583,1
7,840000.0,1.59,0,0,9131,1,91.99,-0.9951965748686021,-0.27552874970958696,-0.4802673042990563,0.6387146715260574,-0.02306992081942647,0.08901660669465251,1.4227869270754383,1
8,350000.0,1.0,1,0,5113,1,68.45,1.1196852993378732,0.1589363927962764,-1.162319669370897,1.1013106102031334,2.4259544284903134,-0.8455236872619319,-0.1407095541066225,1
9,3100000.0,3.0,0,0,4748,1,652.91,-0.22593248960227325,1.3857194942786613,-0.6344204630880933,-0.4128464495869528,-0.6805611572514605,1.546602762158469,0.3178380960782252,1
10,100000.0,1.0,1,0,1826,0,54.76,3.9458000168572247,0.9194872350284331,0.41708092155327986,-0.7442602045545099,1.7500725343724577,-2.192037069213913,1.0352538808375853,3
11,3933515.0,1.0,0,0,6209,1,633.52,-0.42151164596652757,-0.7573412535564031,-0.050504862469169215,0.5891956818209776,-0.1645189374805421,-0.5048297035065791,0.24430255801000406,1
12,280000.0,2.0,0,0,5113,1,54.76,-0.004650187562303768,0.056445117761116,-0.44242774016780917,0.11057655617107048,-0.3659862378334533,0.8279761184127784,0.4178176517219059,1
13,5000000.0,5.0,0,0,1461,0,3422.31,2.223309348054953,4.552124342242116,0.406582584764974,-3.1767571665977874,-1.8494659985887179,1.8843086743424238,1.7585816777671455,3
14,182500.0,1.59,0,0,4017,1,45.43,0.3205895721914458,-0.43259831665989995,-0.26794074068043783,0.19702255337524546,-0.3461264547118734,0.5375069167363509,0.02900122178590863,1
15,4815940.0,1.59,0,0,4748,1,1014.31,-0.18770097670370345,-0.05921123264602108,-0.1341267332418267,0.18363111077755984,-0.4132600028236924,0.08210121033515565,-0.10813108002890959,1
16,16000000.0,3.0,0,0,4748,1,3369.84,-1.1358969279714628,2.3829756799452837,-0.16794802966377048,-0.6303556226537003,-1.0025684024527304,0.4346160705935136,-0.6380184767158041,1
17,1613875.0,1.59,1,0,2556,0,631.41,3.591245429079209,1.7120342947259353,0.2553794745945621,-0.9662669425532306,1.6310328015131363,-1.8273127827410869,1.2540562784257754,3
18,720000.0,1.0,0,0,4383,1,164.27,0.2584753744807937,-1.0435563349463648,-0.081994299037775,0.4820870460155693,-0.20547290982845587,-0.08776864795843986,-0.03262659767388383,1
19,4350000.0,1.59,1,0,5113,1,850.77,0.770861063688497,1.128237092911659,-1.2011972705890352,0.7720398679847693,2.1963205598609163,-0.6394665736529376,-0.31206588225933907,1
20,3268000.0,1.0,0,0,3652,1,894.85,0.26024481524997434,-0.861614786662527,0.044316890219236724,0.3747935648787857,-0.3175568041134136,-0.2512422043386412,-0.42760210643400776,1
21,8500000.0,1.0,0,0,8766,1,969.66,-1.3785101581684,-0.35168291960363,-0.004792077457878958,0.7373401647154857,-0.10890935287693174,-1.0948801727851833,0.6271335320423977,1
22,800000.0,1.59,1,0,4748,1,168.49,1.1118964614720113,0.846264603672634,-1.3125779623909617,0.7997077516961563,2.26072006777848,-0.30543813993647323,-0.1519697883587974,1
